I1,I2,I1MAX,I1MIN,I1VAR,I2MAX,I2MIN,I2VAR,I3,I4,I3max,I3min,I3var,I4MAX,I4MIN,I5,I6,Itotal1,Itotalmax1,Itotalmin1,Vdcmean1,Vdcmax1,Vdcmin1,Pdcmean1,IR,T,range 1,range 2,range 3,range 4,class
3.9383697,3.9383697,4.2200865,3.8877064,0.000011,4.2200865,3.8877064,0.000011,4.2257014,4.2257014,4.2330531,4.2179944,0.0000073,4.2330531,4.2179944,4.2257014,4.2257014,426.4722441,456.2231753,393.0799446,495.4573134,495.8003811,495.095687,184.1010172,742,35,0.3323801,0.3323801,0,0,1
0.6404309,0.6404309,0.8734097,0.5965429,0.0000061,0.8734097,0.5965429,0.0000061,0.8711173,0.8711173,0.8761717,0.8691648,0.0000028,0.8761717,0.8691648,0.8711173,0.8711173,426.8767352,457.3892227,394.6612321,495.8328349,496.8311585,492.0607727,37.9115895,153,22,0.2768667,0.2768667,0,0,1
0.6232842,0.6232842,0.9522004,0.5728486,0.0001034,0.9522004,0.5728486,0.0001034,0.9395535,0.9395535,0.9548315,0.9306584,0.0000648,0.9548315,0.9306584,0.9395535,0.9395535,426.0723788,456.8200368,394.3496757,508.3117372,515.0707907,494.621655,41.912954,164,11,0.3793518,0.3793518,0,0,1
4.5858008,4.5858008,4.8380173,4.5598881,0.0008385,4.8380173,4.5598881,0.0008385,4.7698506,4.7698506,4.8422539,4.7430902,0.0008973,4.8422539,4.7430902,4.7698506,4.7698506,438.9168184,456.9037425,433.9529387,526.4882951,530.0356632,514.7456595,221.0729378,837,12,0.2781291,0.2781291,0,0,1
1.1064966,1.1064966,1.3394092,1.0634144,0.0000036,1.3394092,1.0634144,0.0000036,1.3381625,1.3381625,1.3421829,1.3371052,0.0000006,1.3421829,1.3371052,1.3381625,1.3381625,426.9689059,457.2664981,394.3166795,493.5122063,493.7949848,491.7292367,58.0141925,235,28,0.2759948,0.2759948,0,0,1
5.3226659,5.3226659,5.5367805,5.2866195,0.0000135,5.5367805,5.2866195,0.0000135,5.5458548,5.5458548,5.5550353,5.5367078,0.0000116,5.5550353,5.5367078,5.5458548,5.5458548,506.9262263,508.2473768,504.5403711,513.7696753,514.107601,512.8437464,250.6328834,976,23,0.250161,0.250161,0,0,1
2.5423692,2.5423692,2.8887398,2.472999,0.0000081,2.8887398,2.472999,0.0000081,2.8921264,2.8921264,2.8954886,2.8886547,0.0000016,2.8954886,2.8886547,2.8921264,2.8921264,426.892619,457.0696138,394.0197904,500.1593091,500.4254647,499.8935366,127.127077,508,30,0.4157408,0.4157408,0,0,1
-0.188633,-0.188633,0.9940982,-0.4553647,0.0000924,0.9940982,-0.4553647,0.0000924,0.9979153,0.9979153,0.9989591,0.996469,0.0000002,0.9989591,0.996469,0.9979153,0.9979153,426.8418717,456.9340436,393.9212283,483.8830147,484.279322,483.6052479,41.9419187,175,31,1.4494629,1.4494629,0,0,1
2.3989804,2.3989804,2.6265493,2.3763836,0.0003958,2.6265493,2.3763836,0.0003958,2.5857835,2.5857835,2.6294974,2.5618283,0.000443,2.6294974,2.5618283,2.5857835,2.5857835,426.347901,457.0703435,394.5171887,517.6721989,523.7095092,503.072341,117.8127152,452,14,0.2501657,0.2501657,0,0,1
0.4873642,0.4873642,0.8757795,0.4021364,0.0000097,0.8757795,0.4021364,0.0000097,0.8773184,0.8773184,0.8788211,0.87594,0.0000004,0.8788211,0.87594,0.8773184,0.8773184,426.8926175,457.0696123,394.019789,483.7258509,484.203455,483.2681052,37.1663316,154,30,0.4736431,0.4736431,0,0,1
2.4740527,2.4740527,2.7271934,2.4539823,0.0000477,2.7271934,2.4539823,0.0000477,2.7047692,2.7047692,2.7305099,2.6980954,0.0000495,2.7305099,2.6980954,2.7047692,2.7047692,426.905384,457.4292944,394.6168886,509.1614869,510.3008865,502.509304,121.1365258,475,23,0.2732111,0.2732111,0,0,1
1.7063596,1.7063596,2.077315,1.6403615,0.0000151,2.077315,1.6403615,0.0000151,2.0673451,2.0673451,2.0803718,2.0644344,0.000008,2.0803718,2.0644344,2.0673451,2.0673451,426.9759579,457.3411387,394.4202811,502.0544304,502.6839624,497.4256122,91.1944893,363,26,0.4369535,0.4369535,0,0,1
4.6221425,4.6221425,5.6920564,4.4440693,0.0011171,5.6920564,4.4440693,0.0011171,5.6164245,5.6164245,5.6974627,5.5844129,0.0011622,5.6974627,5.5844129,5.6164245,5.6164245,511.5346567,512.2020654,510.3936294,529.3495767,532.9798105,517.8279965,261.3243082,986,10,1.2479871,1.2479871,0,0,1
1.6439761,1.6439761,2.5319885,1.4866549,0.0008232,2.5319885,1.4866549,0.0008232,2.4931064,2.4931064,2.5348731,2.4677958,0.0005079,2.5348731,2.4677958,2.4931064,2.4931064,426.1655494,456.9037135,394.3961681,518.5187198,525.9381832,502.9689348,113.4438125,435,12,1.0453337,1.0453337,0,0,1
